"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","180","cy.clearCookies() - clear browser cookies for the current domain","Cookies","Tue Dec 02 19:18:13 UTC 2025","passed","Tue Dec 02 19:18:13 UTC 2025","","","",""
"","198",".rightclick() - right click on a DOM element","Actions","Tue Dec 02 19:17:47 UTC 2025","passed","Tue Dec 02 19:17:47 UTC 2025","","","",""
"","100","can throw any error","Assertions","Tue Dec 02 19:18:01 UTC 2025","passed","Tue Dec 02 19:18:01 UTC 2025","","Explicit Assertions","",""
"","93","cy.document() - get the document object","Window","Tue Dec 02 19:19:31 UTC 2025","passed","Tue Dec 02 19:19:31 UTC 2025","","","",""
"","307","cy.request() - pass result to the second request","Network Requests","Tue Dec 02 19:18:42 UTC 2025","passed","Tue Dec 02 19:18:42 UTC 2025","","","",""
"","109","pass your own callback function to should()","Assertions","Tue Dec 02 19:18:01 UTC 2025","passed","Tue Dec 02 19:18:01 UTC 2025","","Explicit Assertions","",""
"","96",".nextAll() - get all next sibling DOM elements","Traversal","Tue Dec 02 19:19:05 UTC 2025","passed","Tue Dec 02 19:19:05 UTC 2025","","","",""
"","127",".focus() - focus on a DOM element","Actions","Tue Dec 02 19:17:43 UTC 2025","passed","Tue Dec 02 19:17:43 UTC 2025","","","",""
"","96",".prevUntil() - get all previous sibling DOM elements until el","Traversal","Tue Dec 02 19:19:06 UTC 2025","passed","Tue Dec 02 19:19:06 UTC 2025","","","",""
"","102",".nextUntil() - get next sibling DOM elements until next el","Traversal","Tue Dec 02 19:19:05 UTC 2025","passed","Tue Dec 02 19:19:06 UTC 2025","","","",""
"","107",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","Tue Dec 02 19:19:06 UTC 2025","passed","Tue Dec 02 19:19:06 UTC 2025","","","",""
"","124","cy.getAllCookies() - get all browser cookies","Cookies","Tue Dec 02 19:18:12 UTC 2025","passed","Tue Dec 02 19:18:12 UTC 2025","","","",""
"","341","cy.visit() - visit a remote url","Navigation","Tue Dec 02 19:18:37 UTC 2025","passed","Tue Dec 02 19:18:37 UTC 2025","","","",""
"","90","Get underlying OS name","Cypress APIs","Tue Dec 02 19:18:18 UTC 2025","passed","Tue Dec 02 19:18:18 UTC 2025","","Cypress.platform","",""
"","218","cy.window() - get the global window object","Window","Tue Dec 02 19:19:31 UTC 2025","passed","Tue Dec 02 19:19:31 UTC 2025","","","",""
"","286","cy.request() - save response in the shared test context","Network Requests","Tue Dec 02 19:18:42 UTC 2025","passed","Tue Dec 02 19:18:43 UTC 2025","","","",""
"","85","yields the original subject without return","Connectors","Tue Dec 02 19:18:08 UTC 2025","passed","Tue Dec 02 19:18:08 UTC 2025","",".then()","",""
"","107",".find() - get descendant DOM elements of the selector","Traversal","Tue Dec 02 19:19:05 UTC 2025","passed","Tue Dec 02 19:19:05 UTC 2025","","","",""
"","91",".next() - get next sibling DOM element","Traversal","Tue Dec 02 19:19:05 UTC 2025","passed","Tue Dec 02 19:19:05 UTC 2025","","","",""
"","110","Get and set configuration options","Cypress APIs","Tue Dec 02 19:18:17 UTC 2025","passed","Tue Dec 02 19:18:17 UTC 2025","","Cypress.config()","",""
"","96",".spread() - spread an array as individual args to callback function","Connectors","Tue Dec 02 19:18:07 UTC 2025","passed","Tue Dec 02 19:18:07 UTC 2025","","","",""
"","703","cy.exec() - execute a system command","Misc","Tue Dec 02 19:18:30 UTC 2025","passed","Tue Dec 02 19:18:31 UTC 2025","","","",""
"","477",".clear() - clears an input or textarea element","Actions","Tue Dec 02 19:17:44 UTC 2025","passed","Tue Dec 02 19:17:44 UTC 2025","","","",""
"","99",".isHidden() - determine if a DOM element is hidden","Cypress APIs","Tue Dec 02 19:18:17 UTC 2025","passed","Tue Dec 02 19:18:17 UTC 2025","","Cypress.dom","",""
"","112","expect - make an assertion about a specified subject","Assertions","Tue Dec 02 19:18:01 UTC 2025","passed","Tue Dec 02 19:18:01 UTC 2025","","Explicit Assertions","",""
"","772",".uncheck() - uncheck a checkbox element","Actions","Tue Dec 02 19:17:48 UTC 2025","passed","Tue Dec 02 19:17:49 UTC 2025","","","",""
"","330","cy.getCookie() - get a browser cookie","Cookies","Tue Dec 02 19:18:11 UTC 2025","passed","Tue Dec 02 19:18:12 UTC 2025","","","",""
"","253",".children() - get child DOM elements","Traversal","Tue Dec 02 19:19:04 UTC 2025","passed","Tue Dec 02 19:19:04 UTC 2025","","","",""
"","265","cy.focused() - get the DOM element that has focus","Misc","Tue Dec 02 19:18:31 UTC 2025","passed","Tue Dec 02 19:18:31 UTC 2025","","","",""
"","858",".select() - select an option in a <select> element","Actions","Tue Dec 02 19:17:49 UTC 2025","passed","Tue Dec 02 19:17:49 UTC 2025","","","",""
"","95",".within() - query DOM elements within a specific element","Querying","Tue Dec 02 19:18:47 UTC 2025","passed","Tue Dec 02 19:18:47 UTC 2025","","","",""
"","99","cy.readFile() - read file contents","Files","Tue Dec 02 19:18:22 UTC 2025","passed","Tue Dec 02 19:18:22 UTC 2025","","","",""
"","431","displays two todo items by default","example to-do app","Tue Dec 02 19:17:33 UTC 2025","passed","Tue Dec 02 19:17:34 UTC 2025","","","",""
"","851","cy.screenshot() - take a screenshot","Misc","Tue Dec 02 19:18:31 UTC 2025","passed","Tue Dec 02 19:18:32 UTC 2025","","Cypress.Screenshot","",""
"","95","yields the value yielded by the last Cypress command inside","Connectors","Tue Dec 02 19:18:08 UTC 2025","passed","Tue Dec 02 19:18:08 UTC 2025","",".then()","",""
"","86","cy.title() - get the title","Window","Tue Dec 02 19:19:31 UTC 2025","passed","Tue Dec 02 19:19:32 UTC 2025","","","",""
"","206","cy.writeFile() - write to a file","Files","Tue Dec 02 19:18:22 UTC 2025","passed","Tue Dec 02 19:18:22 UTC 2025","","","",""
"","173","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","Tue Dec 02 19:19:00 UTC 2025","passed","Tue Dec 02 19:19:00 UTC 2025","","","",""
"","3687",".type() - type into a DOM element","Actions","Tue Dec 02 19:17:39 UTC 2025","passed","Tue Dec 02 19:17:43 UTC 2025","","","",""
"","192",".dblclick() - double click on a DOM element","Actions","Tue Dec 02 19:17:46 UTC 2025","passed","Tue Dec 02 19:17:47 UTC 2025","","","",""
"","98","Get CPU architecture name of underlying OS","Cypress APIs","Tue Dec 02 19:18:17 UTC 2025","passed","Tue Dec 02 19:18:17 UTC 2025","","Cypress.arch","",""
